BrukerID,Kjonn,Alder,Jobb,Postkode
0,,45.0,6.0,92103.0
1,1.0,50.0,16.0,55405.0
2,1.0,18.0,20.0,44089.0
3,1.0,,1.0,33304.0
4,1.0,35.0,6.0,48105.0
5,1.0,25.0,20.0,
6,1.0,50.0,14.0,
7,0.0,25.0,0.0,
8,1.0,25.0,4.0,70806.0
9,1.0,25.0,19.0,45701.0
10,,18.0,1.0,95864.0
11,1.0,35.0,1.0,
12,1.0,45.0,0.0,10543.0
13,1.0,50.0,7.0,34243.0
14,1.0,,4.0,53140.0
15,0.0,18.0,4.0,60625.0
16,1.0,25.0,17.0,3570.0
17,,,7.0,30117.0
18,1.0,50.0,1.0,1096.0
19,1.0,25.0,15.0,2143.0
20,1.0,35.0,,55127.0
21,1.0,35.0,6.0,10011.0
22,0.0,45.0,12.0,23116.0
23,1.0,35.0,5.0,33317.0
24,1.0,50.0,20.0,20009.0
25,1.0,35.0,7.0,2135.0
26,1.0,18.0,4.0,2451.0
27,0.0,18.0,0.0,94587.0
28,1.0,,12.0,98074.0
29,1.0,56.0,1.0,55337.0
30,0.0,25.0,9.0,77449.0
31,1.0,25.0,1.0,94720.0
32,1.0,25.0,,45011.0
33,1.0,18.0,2.0,90210.0
34,1.0,25.0,0.0,95136.0
35,0.0,,0.0,55421.0
36,1.0,18.0,0.0,19134.0
37,0.0,35.0,3.0,99504.0
38,1.0,25.0,14.0,60153.0
39,1.0,,19.0,94618.0
40,1.0,25.0,0.0,40515.0
41,1.0,35.0,17.0,45255.0
42,0.0,56.0,,
43,1.0,25.0,,37919.0
44,1.0,25.0,17.0,55447.0
45,1.0,1.0,10.0,19116.0
46,0.0,,99.0,66204.0
47,0.0,25.0,4.0,78728.0
48,1.0,25.0,17.0,20886.0
49,0.0,56.0,6.0,14612.0
50,1.0,25.0,,24060.0
51,1.0,35.0,7.0,76109.0
52,1.0,45.0,,53713.0
53,1.0,25.0,7.0,30115.0
54,1.0,35.0,,55303.0
55,0.0,,20.0,94949.0
56,1.0,25.0,7.0,11228.0
57,1.0,18.0,,92130.0
58,1.0,25.0,0.0,32112.0
59,0.0,25.0,6.0,60660.0
60,0.0,35.0,12.0,94014.0
61,1.0,35.0,7.0,61910.0
62,0.0,18.0,4.0,63146.0
63,1.0,,1.0,8840.0
64,1.0,45.0,,12065.0
65,1.0,25.0,12.0,10128.0
66,0.0,18.0,4.0,1002.0
