BrukerID,FilmID,Rangering,Tidstempel
0,88,3,959441640
0,365,3,959442446
0,150,5,959442486
0,161,3,959442624
0,323,4,959442669
0,14,3,959442669
0,26,4,959442713
0,446,3,959442749
0,61,4,959442749
0,182,4,959442824
0,404,3,959442887
0,201,3,959442939
0,472,4,959442983
0,442,4,959442983
0,457,3,959443041
0,30,4,959443373
0,176,1,959443403
0,367,5,959443403
0,283,5,959443477
0,162,4,959443547
0,376,3,959443573
0,325,5,959443684
0,494,5,959443709
0,408,3,959443709
0,316,4,959443777
0,388,3,959443858
0,238,3,959443885
0,128,3,959443944
0,133,4,959444011
0,166,3,959444046
0,165,4,959444273
0,105,3,959444339
0,473,3,959444665
0,420,3,959444783
0,380,2,959444835
0,189,4,959445005
0,34,2,959445077
0,155,2,959445264
0,453,3,959445287
4,149,4,974920868
4,390,3,974920893
4,475,3,974921081
4,466,4,974921245
4,164,5,976046498
4,326,4,976046552
4,165,3,976046552
4,82,4,976046591
4,415,5,976046997
4,170,5,976047029
4,351,5,976047029
4,188,4,976047223
4,135,4,976047648
4,395,4,976047692
4,241,2,976047750
4,396,5,976213535
4,433,5,976306463
4,140,4,976306498
4,129,4,977939888
6,415,2,965916515
6,243,4,965916879
6,390,5,965916923
6,338,4,965917019
6,295,5,965917346
6,442,5,965917964
6,83,1,965917964
6,173,3,965918009
6,19,3,965918269
6,241,4,965918375
6,476,1,965918608
8,135,5,965420278
8,438,4,965420521
8,308,4,965420728
8,191,4,965420856
8,437,3,965421229
8,415,5,965421253
8,326,4,965421582
8,133,4,965421582
8,82,5,965421657
8,257,5,965421736
8,338,3,965421770
8,62,4,965421822
8,174,3,965422251
8,473,4,965422381
9,185,3,974736000
9,30,5,974736608
9,353,4,974751006
9,397,4,974751006
9,176,2,974763885
9,316,4,974764033
9,177,3,974764033
9,326,4,974764091
9,283,2,974764466
9,447,1,974764466
9,438,5,974764723
9,270,2,974836408
9,106,3,974964978
9,325,4,974965502
9,308,4,974965685
9,424,5,974965790
9,433,5,974965790
